File,aid,Date,65
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,18
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,562
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,105
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,52
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,7096
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,449
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,9114
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,267
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,346
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,2053
